date,symbol,eps,epsestimated,time,revenue,revenueestimated,updatedfromdate,fiscaldateending,ticker,time_raw,is_amc,is_bmo
1985-09-30,AAPL,0.00161,,,409700000.0,,2026-03-23,1985-09-30,AAPL,,False,False
1985-12-31,AAPL,0.00411,,,533900000.0,,2026-03-23,1985-12-31,AAPL,,False,False
1986-03-31,AAPL,0.00227,,,408900000.0,,2026-03-23,1986-03-31,AAPL,,False,False
1986-06-30,AAPL,0.00227,,,448300000.0,,2026-03-23,1986-06-30,AAPL,,False,False
1986-09-30,AAPL,0.00235,,,510800000.0,,2026-03-23,1986-09-30,AAPL,,False,False
1986-12-31,AAPL,0.0041,,,662300000.0,,2026-03-23,1986-12-31,AAPL,,False,False
1987-03-31,AAPL,0.00242,,,575300000.0,,2026-03-23,1987-03-31,AAPL,,False,False
1987-06-30,AAPL,0.00381,,,637100000.0,,2026-03-23,1987-06-30,AAPL,,False,False
1987-09-30,AAPL,0.00508,,,786500000.0,,2026-03-23,1987-09-30,AAPL,,False,False
1987-12-31,AAPL,0.00863,,,1042400000.0,,2026-03-23,1987-12-31,AAPL,,False,False
1988-03-31,AAPL,0.00571,,,867200000.0,,2026-03-23,1988-03-31,AAPL,,False,False
1988-06-30,AAPL,0.00624,,,993100000.0,,2026-03-23,1988-06-30,AAPL,,False,False
1988-09-30,AAPL,0.00785,,,1168700000.0,,2026-03-23,1988-09-30,AAPL,,False,False
1988-12-31,AAPL,0.00984,,,1405100000.0,,2026-03-23,1988-12-31,AAPL,,False,False
1989-03-31,AAPL,0.00394,,,1246900000.0,,2026-03-23,1989-03-31,AAPL,,False,False
1989-06-30,AAPL,0.00692,,,1248200000.0,,2026-03-23,1989-06-30,AAPL,,False,False
1989-09-30,AAPL,0.01138,,,1383700000.0,,2026-03-23,1989-09-30,AAPL,,False,False
1989-12-31,AAPL,0.00857,,,1493400000.0,,2026-03-23,1989-12-31,AAPL,,False,False
1990-03-31,AAPL,0.00929,,,1346200000.0,,2026-03-23,1990-03-31,AAPL,,False,False
1990-06-30,AAPL,0.00857,,,1364800000.0,,2026-03-23,1990-06-30,AAPL,,False,False
1990-09-30,AAPL,0.00727,,,1354100000.0,,2026-03-23,1990-09-30,AAPL,,False,False
1990-12-31,AAPL,0.01143,,,1675500000.0,,2026-03-23,1990-12-31,AAPL,,False,False
1991-03-31,AAPL,0.00964,,,1597700000.0,,2026-03-23,1991-03-31,AAPL,,False,False
1991-06-30,AAPL,-0.00393,,,1528600000.0,,2026-03-23,1991-06-30,AAPL,,False,False
1991-09-30,AAPL,0.00589,,,1507000000.0,,2026-03-23,1991-09-30,AAPL,,False,False
1991-12-31,AAPL,0.01214,,,1862600000.0,,2026-03-23,1991-12-31,AAPL,,False,False
1992-03-31,AAPL,0.00982,,,1716000000.0,,2026-03-23,1992-03-31,AAPL,,False,False
1992-06-30,AAPL,0.00964,,,1740200000.0,,2026-03-23,1992-06-30,AAPL,,False,False
1992-09-30,AAPL,0.00717,,,1767700000.0,,2026-03-23,1992-09-30,AAPL,,False,False
1993-01-16,AAPL,0.0119,,,2000292000.0,,2026-03-26,1992-12-31,AAPL,,False,False
