date,symbol,actualearningresult,estimatedearning,ticker
2025-07-31,AAPL,1.57,1.44,AAPL
2025-05-01,AAPL,1.65,1.63,AAPL
2025-01-30,AAPL,2.4,2.36,AAPL
2024-10-31,AAPL,1.64,1.6,AAPL
2024-08-01,AAPL,1.4,1.35,AAPL
2024-05-02,AAPL,1.53,1.5,AAPL
2024-02-01,AAPL,2.18,2.1,AAPL
2023-11-02,AAPL,1.46,1.39,AAPL
2023-08-03,AAPL,1.26,1.19,AAPL
2023-05-04,AAPL,1.52,1.43,AAPL
2023-02-02,AAPL,1.88,1.94,AAPL
2022-10-27,AAPL,1.29,1.27,AAPL
2022-07-28,AAPL,1.2,1.16,AAPL
2022-04-28,AAPL,1.52,1.43,AAPL
2022-01-27,AAPL,2.1,1.89,AAPL
2021-10-28,AAPL,1.24,1.24,AAPL
2021-07-27,AAPL,1.3,1.01,AAPL
2021-04-28,AAPL,1.4,0.99,AAPL
2021-01-27,AAPL,1.68,1.41,AAPL
2020-10-29,AAPL,0.73,0.7,AAPL
2020-07-30,AAPL,0.65,0.51,AAPL
2020-04-30,AAPL,0.64,0.57,AAPL
2020-01-28,AAPL,1.25,1.14,AAPL
2019-10-30,AAPL,0.76,0.71,AAPL
2019-07-30,AAPL,0.55,0.52,AAPL
2019-04-30,AAPL,0.62,0.59,AAPL
2019-01-29,AAPL,1.05,1.04,AAPL
2018-11-01,AAPL,0.73,0.7,AAPL
2018-07-31,AAPL,0.59,0.55,AAPL
2018-05-01,AAPL,0.68,0.67,AAPL
2018-02-01,AAPL,0.97,0.96,AAPL
2017-11-02,AAPL,0.52,0.47,AAPL
2017-08-01,AAPL,0.42,0.39,AAPL
2017-05-02,AAPL,0.53,0.5,AAPL
2017-01-31,AAPL,0.84,0.8,AAPL
2016-10-25,AAPL,0.42,0.41,AAPL
2016-07-26,AAPL,0.36,0.35,AAPL
2016-04-26,AAPL,0.48,0.5,AAPL
2016-01-26,AAPL,0.82,0.81,AAPL
2015-10-27,AAPL,0.49,0.47,AAPL
2015-07-21,AAPL,0.46,0.45,AAPL
2015-04-27,AAPL,0.58,0.54,AAPL
2015-01-27,AAPL,0.77,0.65,AAPL
2014-10-20,AAPL,0.36,0.33,AAPL
2014-07-22,AAPL,0.32,0.31,AAPL
2014-04-23,AAPL,0.42,0.36,AAPL
2014-01-27,AAPL,0.52,0.5,AAPL
2013-10-28,AAPL,0.3,0.28,AAPL
2013-07-23,AAPL,0.27,0.26,AAPL
2013-04-23,AAPL,0.36,0.36,AAPL
2013-01-23,AAPL,0.49,0.48,AAPL
2012-10-25,AAPL,0.31,0.31,AAPL
2012-07-24,AAPL,0.33,0.37,AAPL
2012-04-24,AAPL,0.44,0.36,AAPL
2012-01-24,AAPL,0.5,0.36,AAPL
2011-10-18,AAPL,0.25,0.26,AAPL
2011-07-19,AAPL,0.28,0.21,AAPL
