date,symbol,actualearningresult,estimatedearning,ticker
2026-01-29,AAPL,2.85,2.67,AAPL
2025-10-30,AAPL,1.85,1.73,AAPL
2025-07-31,AAPL,1.57,1.44,AAPL
2025-05-01,AAPL,1.65,1.63,AAPL
2025-01-30,AAPL,2.4,2.36,AAPL
2024-10-31,AAPL,1.64,1.6,AAPL
2024-08-01,AAPL,1.4,1.34,AAPL
2024-05-02,AAPL,1.53,1.51,AAPL
2024-02-01,AAPL,2.18,2.1,AAPL
2023-11-02,AAPL,1.46,1.39,AAPL
2023-08-03,AAPL,1.26,1.19,AAPL
2023-05-04,AAPL,1.52,1.44,AAPL
2023-02-02,AAPL,1.88,1.93,AAPL
2022-10-27,AAPL,1.29,1.27,AAPL
2022-07-28,AAPL,1.2,1.14,AAPL
2022-04-28,AAPL,1.52,1.43,AAPL
2022-01-27,AAPL,2.1,1.89,AAPL
2021-10-28,AAPL,1.24,1.24,AAPL
2021-07-27,AAPL,1.3,1.0,AAPL
2021-04-28,AAPL,1.4,1.0,AAPL
2021-01-27,AAPL,1.68,1.41,AAPL
2020-10-29,AAPL,0.73,0.69,AAPL
2020-07-30,AAPL,0.64,0.51,AAPL
2020-04-30,AAPL,0.64,0.52,AAPL
2020-01-28,AAPL,1.25,1.13,AAPL
2019-10-30,AAPL,0.76,0.71,AAPL
2019-07-30,AAPL,0.55,0.52,AAPL
2019-04-30,AAPL,0.62,0.59,AAPL
2019-01-29,AAPL,1.04,1.04,AAPL
2018-11-01,AAPL,0.73,0.7,AAPL
2018-07-31,AAPL,0.58,0.54,AAPL
2018-05-01,AAPL,0.68,0.67,AAPL
2018-02-01,AAPL,0.97,0.95,AAPL
2017-11-02,AAPL,0.52,0.47,AAPL
2017-08-01,AAPL,0.42,0.39,AAPL
2017-05-02,AAPL,0.52,0.5,AAPL
2017-01-31,AAPL,0.84,0.81,AAPL
2016-10-25,AAPL,0.42,0.41,AAPL
2016-07-26,AAPL,0.35,0.35,AAPL
2016-04-26,AAPL,0.47,0.49,AAPL
2016-01-26,AAPL,0.82,0.81,AAPL
2015-10-27,AAPL,0.49,0.47,AAPL
2015-07-21,AAPL,0.46,0.45,AAPL
2015-04-27,AAPL,0.58,0.54,AAPL
2015-01-27,AAPL,0.76,0.65,AAPL
2014-10-20,AAPL,0.35,0.32,AAPL
2014-07-22,AAPL,0.32,0.31,AAPL
2014-04-23,AAPL,0.41,0.36,AAPL
2014-01-27,AAPL,0.52,0.5,AAPL
2013-10-28,AAPL,0.3,0.28,AAPL
2013-07-23,AAPL,0.27,0.26,AAPL
2013-04-23,AAPL,0.36,0.36,AAPL
2013-01-23,AAPL,0.49,0.48,AAPL
2012-10-25,AAPL,0.31,0.32,AAPL
2012-07-24,AAPL,0.33,0.37,AAPL
2012-04-24,AAPL,0.44,0.36,AAPL
2012-01-24,AAPL,0.5,0.36,AAPL
2011-10-18,AAPL,0.25,0.26,AAPL
2011-07-19,AAPL,0.28,0.21,AAPL
2011-04-20,AAPL,0.23,0.19,AAPL
2011-01-18,AAPL,0.23,0.19,AAPL
2010-10-18,AAPL,0.17,0.15,AAPL
2010-07-20,AAPL,0.13,0.11,AAPL
2010-04-20,AAPL,0.12,0.09,AAPL
2010-01-25,AAPL,0.13,0.07,AAPL
2009-10-19,AAPL,0.11,0.05,AAPL
2009-07-21,AAPL,0.05,0.04,AAPL
2009-04-22,AAPL,0.05,0.04,AAPL
2009-01-21,AAPL,0.06,0.05,AAPL
2008-10-21,AAPL,0.05,0.04,AAPL
2008-07-21,AAPL,0.04,0.04,AAPL
2008-04-23,AAPL,0.04,0.04,AAPL
2008-01-22,AAPL,0.06,0.06,AAPL
2007-10-22,AAPL,0.04,0.03,AAPL
2007-07-25,AAPL,0.03,0.03,AAPL
2007-04-25,AAPL,0.03,0.02,AAPL
2007-01-17,AAPL,0.04,0.03,AAPL
2006-10-18,AAPL,0.02,0.02,AAPL
2006-07-19,AAPL,0.02,0.02,AAPL
2006-04-19,AAPL,0.02,0.02,AAPL
2006-01-18,AAPL,0.02,0.02,AAPL
2005-11-30,AAPL,0.0187,0.02,AAPL
2005-07-13,AAPL,0.014,0.01,AAPL
2005-04-13,AAPL,0.0128,0.0075,AAPL
2005-01-12,AAPL,0.0134,0.0075,AAPL
2004-12-02,AAPL,0.0049,0.01,AAPL
2004-07-14,AAPL,0.0029,0.0025,AAPL
2004-04-14,AAPL,0.0022,0.0025,AAPL
2004-01-14,AAPL,0.0031,0.0025,AAPL
2002-07-16,AAPL,0.0016,0.0025,AAPL
2002-01-16,AAPL,0.0019,0.0025,AAPL
2000-07-18,AAPL,0.011,0.0075,AAPL
2000-04-19,AAPL,0.0128,0.0075,AAPL
2000-01-19,AAPL,0.0101,0.0075,AAPL
1999-07-14,AAPL,0.0126,0.005,AAPL
1999-04-14,AAPL,0.0088,0.005,AAPL
1999-01-13,AAPL,0.01,0.005,AAPL
1998-10-14,AAPL,0.0068,0.005,AAPL
1998-04-15,AAPL,0.0037,0.0025,AAPL
1998-01-14,AAPL,0.0033,0.0025,AAPL
2026-02-04,ABBV,2.71,2.65,ABBV
2025-10-31,ABBV,1.86,1.77,ABBV
2025-07-31,ABBV,2.97,2.88,ABBV
2025-04-25,ABBV,2.46,2.38,ABBV
2025-01-31,ABBV,2.16,2.98,ABBV
2024-10-30,ABBV,3.0,2.92,ABBV
2024-07-25,ABBV,2.65,2.57,ABBV
2024-04-26,ABBV,2.31,2.26,ABBV
2024-02-02,ABBV,2.79,2.76,ABBV
2023-10-27,ABBV,2.95,2.86,ABBV
2023-07-27,ABBV,2.91,2.79,ABBV
2023-04-27,ABBV,2.46,2.44,ABBV
2023-02-09,ABBV,3.6,3.54,ABBV
2022-10-28,ABBV,3.66,3.56,ABBV
2022-07-29,ABBV,3.37,3.31,ABBV
2022-04-29,ABBV,3.24,3.14,ABBV
2022-02-02,ABBV,3.31,3.29,ABBV
2021-10-29,ABBV,3.33,3.23,ABBV
2021-07-30,ABBV,3.11,3.11,ABBV
2021-04-30,ABBV,2.95,2.77,ABBV
2021-02-03,ABBV,2.92,2.85,ABBV
2020-10-30,ABBV,2.83,2.75,ABBV
2020-07-31,ABBV,2.34,2.24,ABBV
2020-05-01,ABBV,2.42,2.25,ABBV
2020-02-07,ABBV,2.21,2.19,ABBV
2019-11-01,ABBV,2.33,2.29,ABBV
2019-07-26,ABBV,2.26,2.21,ABBV
2019-04-25,ABBV,2.14,2.05,ABBV
2019-01-25,ABBV,1.9,1.92,ABBV
2018-11-02,ABBV,2.14,2.02,ABBV
2018-07-27,ABBV,2.0,1.98,ABBV
2018-04-26,ABBV,1.87,1.79,ABBV
2018-01-26,ABBV,1.48,1.44,ABBV
2017-10-27,ABBV,1.41,1.39,ABBV
2017-07-28,ABBV,1.42,1.4,ABBV
2017-04-27,ABBV,1.28,1.26,ABBV
2017-01-27,ABBV,1.2,1.2,ABBV
2016-10-28,ABBV,1.21,1.2,ABBV
2016-07-29,ABBV,1.26,1.2,ABBV
2016-04-28,ABBV,1.15,1.12,ABBV
2016-01-29,ABBV,1.13,1.12,ABBV
2015-10-30,ABBV,1.13,1.07,ABBV
2015-07-24,ABBV,1.08,1.06,ABBV
2015-04-23,ABBV,0.94,0.84,ABBV
2015-01-30,ABBV,0.89,0.85,ABBV
2014-10-31,ABBV,0.89,0.78,ABBV
2014-07-25,ABBV,0.82,0.76,ABBV
2014-04-25,ABBV,0.71,0.68,ABBV
2014-01-31,ABBV,0.82,0.82,ABBV
2013-10-25,ABBV,0.82,0.78,ABBV
2013-07-26,ABBV,0.82,0.79,ABBV
2013-04-26,ABBV,0.68,0.67,ABBV
2013-01-23,ABBV,1.0,0.99,ABBV
2026-04-16,ABT,1.15,1.14,ABT
2026-01-22,ABT,1.5,1.5,ABT
2025-10-15,ABT,1.3,1.3,ABT
2025-07-17,ABT,1.26,1.26,ABT
2025-04-16,ABT,1.09,1.07,ABT
2025-01-22,ABT,1.34,1.34,ABT
2024-10-16,ABT,1.21,1.2,ABT
2024-07-18,ABT,1.14,1.1,ABT
2024-04-17,ABT,0.98,0.955,ABT
2024-01-24,ABT,1.19,1.19,ABT
2023-10-18,ABT,1.14,1.1,ABT
2023-07-20,ABT,1.08,1.04,ABT
2023-04-19,ABT,1.03,0.98,ABT
2023-01-25,ABT,1.03,0.9,ABT
2022-10-19,ABT,1.15,0.91,ABT
2022-07-20,ABT,1.43,1.13,ABT
2022-04-20,ABT,1.73,1.47,ABT
2022-01-26,ABT,1.32,1.21,ABT
2021-10-20,ABT,1.4,0.95,ABT
2021-07-22,ABT,1.17,1.01,ABT
2021-04-20,ABT,1.32,1.33,ABT
2021-01-27,ABT,1.45,1.35,ABT
2020-10-21,ABT,0.98,0.9,ABT
2020-07-16,ABT,0.57,0.43,ABT
2020-04-16,ABT,0.65,0.55,ABT
2020-01-22,ABT,0.95,0.95,ABT
2019-10-16,ABT,0.84,0.84,ABT
2019-07-17,ABT,0.82,0.8,ABT
2019-04-17,ABT,0.63,0.61,ABT
2019-01-23,ABT,0.81,0.81,ABT
2018-10-17,ABT,0.75,0.74,ABT
2018-07-18,ABT,0.73,0.71,ABT
2018-04-18,ABT,0.59,0.58,ABT
2018-01-24,ABT,0.74,0.73,ABT
2017-10-18,ABT,0.66,0.65,ABT
2017-07-20,ABT,0.62,0.6,ABT
2017-04-19,ABT,0.48,0.43,ABT
2017-01-25,ABT,0.65,0.65,ABT
2016-10-19,ABT,0.59,0.58,ABT
2016-07-20,ABT,0.55,0.53,ABT
2016-04-20,ABT,0.41,0.39,ABT
2016-01-28,ABT,0.62,0.61,ABT
2015-10-21,ABT,0.54,0.53,ABT
2015-07-22,ABT,0.52,0.5,ABT
2015-04-22,ABT,0.47,0.42,ABT
2015-01-29,ABT,0.71,0.68,ABT
2014-10-22,ABT,0.62,0.6,ABT
2014-07-16,ABT,0.54,0.51,ABT
2014-04-16,ABT,0.41,0.35,ABT
2014-01-22,ABT,0.58,0.58,ABT
2013-10-16,ABT,0.55,0.51,ABT
2013-07-17,ABT,0.46,0.44,ABT
2013-04-17,ABT,0.42,0.41,ABT
2013-01-23,ABT,1.52,1.5,ABT
2012-10-17,ABT,1.3,1.28,ABT
2012-07-18,ABT,1.23,1.22,ABT
2012-04-18,ABT,1.03,1.0,ABT
2012-01-25,ABT,1.45,1.44,ABT
2011-10-19,ABT,1.18,1.17,ABT
2011-07-20,ABT,1.12,1.11,ABT
2011-04-20,ABT,0.91,0.9,ABT
2011-01-26,ABT,1.3,1.29,ABT
2010-10-20,ABT,1.05,1.04,ABT
2010-07-21,ABT,1.01,1.0,ABT
2010-04-21,ABT,0.81,0.8,ABT
2010-01-27,ABT,1.18,1.17,ABT
2009-10-14,ABT,0.92,0.9,ABT
2009-07-15,ABT,0.89,0.89,ABT
2009-04-15,ABT,0.73,0.7,ABT
2009-01-21,ABT,1.06,1.06,ABT
2008-10-15,ABT,0.79,0.77,ABT
2008-07-16,ABT,0.84,0.79,ABT
2008-04-16,ABT,0.63,0.62,ABT
2008-01-23,ABT,0.93,0.92,ABT
2007-10-17,ABT,0.67,0.66,ABT
2007-07-18,ABT,0.69,0.68,ABT
2007-04-18,ABT,0.55,0.52,ABT
2007-01-24,ABT,0.75,0.74,ABT
2006-10-18,ABT,0.58,0.58,ABT
2006-07-19,ABT,0.62,0.57,ABT
2006-04-19,ABT,0.57,0.57,ABT
2006-01-25,ABT,0.76,0.76,ABT
2005-10-19,ABT,0.58,0.58,ABT
2005-07-13,ABT,0.58,0.57,ABT
2005-04-12,ABT,0.58,0.58,ABT
2005-01-18,ABT,0.67,0.67,ABT
2004-10-14,ABT,0.53,0.53,ABT
2004-07-09,ABT,0.54,0.54,ABT
2004-04-08,ABT,0.57,0.56,ABT
2004-01-16,ABT,0.65,0.65,ABT
2003-10-09,ABT,0.53,0.53,ABT
2003-07-10,ABT,0.52,0.52,ABT
2003-04-09,ABT,0.51,0.51,ABT
2003-01-16,ABT,0.55,0.56,ABT
2002-10-09,ABT,0.48,0.48,ABT
2002-07-11,ABT,0.49,0.49,ABT
2002-04-09,ABT,0.54,0.54,ABT
2002-01-16,ABT,0.52,0.52,ABT
2001-10-10,ABT,0.44,0.44,ABT
2001-07-12,ABT,0.45,0.45,ABT
2026-03-19,ACN,2.93,2.84,ACN
2025-12-18,ACN,3.94,3.74,ACN
2025-09-25,ACN,3.03,2.98,ACN
2025-06-20,ACN,3.49,3.35,ACN
2025-03-20,ACN,2.82,2.81,ACN
2024-12-19,ACN,3.59,3.42,ACN
2024-09-26,ACN,2.79,2.78,ACN
2024-06-20,ACN,3.13,3.15,ACN
2024-03-21,ACN,2.77,2.66,ACN
2023-12-19,ACN,3.27,3.14,ACN
2023-09-28,ACN,2.71,2.66,ACN
2023-06-22,ACN,3.19,3.04,ACN
2023-03-23,ACN,2.69,2.5,ACN
2022-12-16,ACN,3.08,2.91,ACN
2022-09-22,ACN,2.6,2.57,ACN
2022-06-23,ACN,2.94,2.85,ACN
2022-03-17,ACN,2.54,2.37,ACN
2021-12-16,ACN,2.78,2.63,ACN
2021-09-23,ACN,2.2,2.19,ACN
2021-06-24,ACN,2.4,2.23,ACN
2021-03-18,ACN,2.03,1.9,ACN
2020-12-17,ACN,2.32,2.05,ACN
2020-09-24,ACN,1.7,1.73,ACN
2020-06-25,ACN,1.9,1.85,ACN
2020-03-19,ACN,1.91,1.72,ACN
2019-12-19,ACN,2.09,2.0,ACN
2019-09-26,ACN,1.74,1.71,ACN
2019-06-27,ACN,1.93,1.89,ACN
2019-03-28,ACN,1.73,1.57,ACN
2018-12-20,ACN,1.96,1.86,ACN
2018-09-27,ACN,1.58,1.56,ACN
2018-06-28,ACN,1.79,1.72,ACN
2018-03-22,ACN,1.58,1.49,ACN
2017-12-21,ACN,1.79,1.67,ACN
2017-09-28,ACN,1.48,1.47,ACN
2017-06-22,ACN,1.52,1.5,ACN
2017-03-23,ACN,1.33,1.3,ACN
2016-12-21,ACN,1.58,1.49,ACN
2016-09-29,ACN,1.31,1.3,ACN
2016-06-23,ACN,1.41,1.41,ACN
