,n,mean,median,hit_rate,std,se,t_stat
Momentum +1..+6,2234.0,0.78%,0.48%,53.8%,6.33%,0.13%,5.81
Momentum +1..+3,2234.0,0.55%,0.26%,53.1%,5.56%,0.12%,4.71
Contrarian +1..+1,2234.0,-0.42%,-0.22%,45.7%,4.57%,0.10%,-4.38
Contrarian +1..+3,2234.0,-0.65%,-0.36%,45.8%,5.56%,0.12%,-5.56
Agnostic +1..+1,2232.0,0.03%,-0.08%,48.3%,4.59%,0.10%,0.33
Pre Run-up -10..-1,2234.0,1.00%,0.89%,57.4%,5.50%,0.12%,8.58
Pre Run-up -5..-1,2234.0,0.49%,0.38%,55.2%,4.01%,0.08%,5.74
Hold/Cut thr=5% ext=+5,2234.0,1.71%,1.49%,58.1%,8.38%,0.18%,9.65
Hold/Cut thr=5% ext=+10,2234.0,2.13%,1.79%,59.3%,9.14%,0.19%,11.01
Hold/Cut thr=10% ext=+5,2234.0,1.57%,1.49%,59.1%,7.98%,0.17%,9.28
