,gdp,cpi,interest_rate,unemployment,payrolls
2019-10-01 00:00:00,20985.448,,,,
2020-01-01 00:00:00,20693.238,259.127,1.55,3.6,152031.0
2020-04-01 00:00:00,19056.617,256.032,0.05,14.8,130424.0
2020-07-01 00:00:00,20548.793,258.352,0.09,10.2,139255.0
2020-10-01 00:00:00,20771.691,260.319,0.09,6.9,142461.0
2021-01-01 00:00:00,21058.379,262.639,0.09,6.4,142913.0
2021-04-01 00:00:00,21389.005,266.625,0.07,6.1,144611.0
2021-07-01 00:00:00,21571.421,271.965,0.1,5.4,146759.0
2021-10-01 00:00:00,21960.388,276.528,0.08,4.5,148569.0
2022-01-01 00:00:00,21903.85,282.542,0.08,4.0,150006.0
2022-04-01 00:00:00,21919.222,288.582,0.33,3.7,151651.0
2022-07-01 00:00:00,22066.784,294.94,1.68,3.5,153049.0
2022-10-01 00:00:00,22249.459,297.979,3.08,3.6,153913.0
2023-01-01 00:00:00,22403.435,300.456,4.33,3.5,154780.0
2023-04-01 00:00:00,22539.418,302.858,4.83,3.4,155387.0
2023-07-01 00:00:00,22780.933,304.615,5.12,3.5,156019.0
2023-10-01 00:00:00,22960.6,307.653,5.33,3.9,156520.0
2024-01-01 00:00:00,23053.545,309.794,5.33,3.7,157049.0
2024-04-01 00:00:00,23223.906,313.016,5.33,3.9,157635.0
2024-07-01 00:00:00,23400.294,313.566,5.33,4.2,158003.0
2024-10-01 00:00:00,23542.349,315.564,4.83,4.1,158358.0
2025-01-01 00:00:00,23512.717,319.086,4.33,4.0,159053.0
2025-04-01 00:00:00,23703.782,320.321,4.33,4.2,159433.0
2019-12-01 00:00:00,,258.63,1.55,3.6,151795.0
2020-02-01 00:00:00,,259.25,1.58,3.5,152292.0
2020-03-01 00:00:00,,258.076,0.65,4.4,150895.0
2020-05-01 00:00:00,,255.802,0.05,13.2,133040.0
2020-06-01 00:00:00,,257.042,0.08,11.0,137671.0
2020-08-01 00:00:00,,259.316,0.1,8.4,140819.0
2020-09-01 00:00:00,,259.997,0.09,7.8,141770.0
2020-11-01 00:00:00,,260.911,0.09,6.7,142731.0
2020-12-01 00:00:00,,262.045,0.09,6.7,142548.0
2021-02-01 00:00:00,,263.573,0.08,6.2,143422.0
2021-03-01 00:00:00,,264.847,0.07,6.1,144246.0
2021-05-01 00:00:00,,268.404,0.06,5.8,145032.0
2021-06-01 00:00:00,,270.71,0.08,5.9,145828.0
2021-08-01 00:00:00,,272.752,0.09,5.1,147246.0
2021-09-01 00:00:00,,273.942,0.08,4.7,147712.0
2021-11-01 00:00:00,,278.824,0.08,4.2,149206.0
2021-12-01 00:00:00,,280.806,0.08,3.9,149781.0
2022-02-01 00:00:00,,284.525,0.08,3.8,150875.0
2022-03-01 00:00:00,,287.467,0.2,3.7,151346.0
2022-05-01 00:00:00,,291.299,0.77,3.6,151892.0
2022-06-01 00:00:00,,295.072,1.21,3.6,152353.0
2022-08-01 00:00:00,,295.162,2.33,3.6,153286.0
2022-09-01 00:00:00,,296.421,2.56,3.5,153513.0
2022-11-01 00:00:00,,298.708,3.78,3.6,154210.0
2022-12-01 00:00:00,,298.808,4.1,3.5,154336.0
2023-02-01 00:00:00,,301.476,4.57,3.6,155086.0
2023-03-01 00:00:00,,301.643,4.65,3.5,155171.0
2023-05-01 00:00:00,,303.316,5.06,3.6,155614.0
2023-06-01 00:00:00,,304.099,5.08,3.6,155871.0
2023-08-01 00:00:00,,306.138,5.33,3.7,156176.0
2023-09-01 00:00:00,,307.374,5.33,3.8,156334.0
2023-11-01 00:00:00,,308.087,5.33,3.7,156661.0
2023-12-01 00:00:00,,308.735,5.33,3.8,156930.0
2024-02-01 00:00:00,,311.022,5.33,3.9,157271.0
2024-03-01 00:00:00,,312.107,5.33,3.9,157517.0
2024-05-01 00:00:00,,313.14,5.33,4.0,157828.0
2024-06-01 00:00:00,,313.131,5.33,4.1,157915.0
2024-08-01 00:00:00,,314.131,5.33,4.2,158074.0
2024-09-01 00:00:00,,314.851,5.13,4.1,158314.0
2024-11-01 00:00:00,,316.449,4.64,4.2,158619.0
2024-12-01 00:00:00,,317.603,4.48,4.1,158942.0
2025-02-01 00:00:00,,319.775,4.33,4.1,159155.0
2025-03-01 00:00:00,,319.615,4.33,4.2,159275.0
2025-05-01 00:00:00,,320.58,4.33,4.2,159452.0
2025-06-01 00:00:00,,321.5,4.33,4.1,159466.0
2025-07-01 00:00:00,,322.132,4.33,4.2,159539.0
