ticker,sec_date,calendar_date,calendar_time,delta_days,match
AAPL,2025-07-31,2025-07-31,amc,0,True
AAPL,2025-05-01,2025-05-01,amc,0,True
AAPL,2025-01-30,2025-01-30,amc,0,True
AAPL,2024-10-31,2024-10-31,amc,0,True
AAPL,2024-08-01,2024-08-01,amc,0,True
AAPL,2024-05-02,2024-05-02,amc,0,True
AAPL,2024-02-01,2024-02-01,amc,0,True
AAPL,2023-11-02,2023-11-02,amc,0,True
AAPL,2023-08-03,2023-08-03,amc,0,True
AAPL,2023-05-04,2023-05-04,amc,0,True
AAPL,2023-02-02,2023-02-02,amc,0,True
AAPL,2022-10-27,2022-10-27,,0,True
AAPL,2022-07-28,2022-07-28,amc,0,True
AAPL,2022-04-28,2022-04-28,amc,0,True
AAPL,2022-01-27,2022-01-27,amc,0,True
AAPL,2021-10-28,2021-10-28,amc,0,True
AAPL,2021-07-27,2021-07-27,amc,0,True
AAPL,2021-04-28,2021-04-28,amc,0,True
AAPL,2021-01-27,2021-01-27,amc,0,True
AAPL,2020-10-29,2020-10-29,amc,0,True
AAPL,2020-07-30,2020-07-30,amc,0,True
AAPL,2020-04-30,2020-04-30,amc,0,True
GOOG,2025-07-23,2025-07-23,amc,0,True
GOOG,2025-04-24,2025-04-24,amc,0,True
GOOG,2025-02-04,2025-02-04,amc,0,True
GOOG,2024-10-29,2024-10-29,amc,0,True
GOOG,2024-07-23,2024-07-23,amc,0,True
GOOG,2024-04-25,2024-04-25,amc,0,True
GOOG,2024-01-30,2024-01-30,amc,0,True
GOOG,2023-10-24,2023-10-24,amc,0,True
GOOG,2023-07-25,2023-07-25,amc,0,True
GOOG,2023-04-20,2023-04-25,amc,5,False
GOOG,2023-02-02,2023-02-02,amc,0,True
GOOG,2022-10-25,2022-10-25,amc,0,True
GOOG,2022-07-26,2022-07-26,amc,0,True
GOOG,2022-04-26,2022-04-26,amc,0,True
NVDA,2025-08-27,2025-08-27,amc,0,True
NVDA,2025-05-28,2025-05-28,amc,0,True
NVDA,2025-02-26,2025-02-26,amc,0,True
NVDA,2024-11-20,2024-11-20,amc,0,True
NVDA,2024-08-28,2024-08-28,amc,0,True
NVDA,2024-05-22,2024-05-22,amc,0,True
NVDA,2024-02-21,2024-02-21,amc,0,True
NVDA,2023-11-21,2023-11-21,amc,0,True
NVDA,2023-08-23,2023-08-23,amc,0,True
NVDA,2023-05-24,2023-05-24,amc,0,True
NVDA,2023-02-22,2023-02-22,amc,0,True
NVDA,2022-11-16,2022-11-16,amc,0,True
NVDA,2022-08-08,2022-08-24,amc,16,False
NVDA,2022-05-25,2022-05-25,amc,0,True
NVDA,2022-02-16,2022-02-16,amc,0,True
NVDA,2021-11-17,2021-11-17,amc,0,True
NVDA,2021-08-18,2021-08-18,amc,0,True
NVDA,2021-05-26,2021-05-26,amc,0,True
NVDA,2021-02-24,2021-02-24,amc,0,True
NVDA,2020-11-18,2020-11-18,amc,0,True
NVDA,2020-02-13,2020-02-13,amc,0,True
